TID.string(),TSource.string(),TTestName.string(),TType.string(),TDescription.string(),TIssueName.string(),TIssueType.string(),TSeverity.int32(),TTesterSupport.string(),TPhase.string(),TSection.string(),TStep.string(),TIssueBackground.string(),TRemediationBackground.string(),TRef1.string(),TRef2.string(),TTRef.string(),TCweID.string(),TPCI.boolean(),TTop10.boolean(),TTop25.boolean(),TStdTest.boolean()
ASVS-V01.01.1,OWASP-ASVS,L2/L3 Verify the use of a secure software development lifecycle that addresses s...,"Architecture, Design and Threat Modeling Requirements",Verify the use of a secure software development lifecycle that addresses securit...,,,,Verify the use of a secure software development lifecycle that addresses security in all stages of development. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V1 Architecture, Design and Threat Modeling Requirements",V1.1 Secure Software Development Lifecycle Requirements,001,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,0,,,,
ASVS-V01.01.2,OWASP-ASVS,L2/L3 Verify the use of threat modeling for every design change or sprint planni...,"Architecture, Design and Threat Modeling Requirements",Verify the use of threat modeling for every design change or sprint planning to ...,,,,"Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.","V1 Architecture, Design and Threat Modeling Requirements",V1.1 Secure Software Development Lifecycle Requirements,002,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,1053,,,,
ASVS-V01.01.3,OWASP-ASVS,L2/L3 Verify that all user stories and features contain functional security cons...,"Architecture, Design and Threat Modeling Requirements",Verify that all user stories and features contain functional security constraint...,,,,"Verify that all user stories and features contain functional security constraints, such as ""As a user, I should be able to view and edit my profile. I should not be able to view or edit anyone else's profile""","V1 Architecture, Design and Threat Modeling Requirements",V1.1 Secure Software Development Lifecycle Requirements,003,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,1110,,,,
ASVS-V01.01.4,OWASP-ASVS,L2/L3 Verify documentation and justification of all the application's trust boun...,"Architecture, Design and Threat Modeling Requirements",Verify documentation and justification of all the application's trust boundaries...,,,,"Verify documentation and justification of all the application's trust boundaries, components, and significant data flows.","V1 Architecture, Design and Threat Modeling Requirements",V1.1 Secure Software Development Lifecycle Requirements,004,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,1059,,,,
ASVS-V01.01.5,OWASP-ASVS,L2/L3 Verify definition and security analysis of the application's high-level ar...,"Architecture, Design and Threat Modeling Requirements",Verify definition and security analysis of the application's high-level architec...,,,,Verify definition and security analysis of the application's high-level architecture and all connected remote services. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V1 Architecture, Design and Threat Modeling Requirements",V1.1 Secure Software Development Lifecycle Requirements,005,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,1059,,,,
ASVS-V01.01.6,OWASP-ASVS,"L2/L3 Verify implementation of centralized, simple (economy of design), vetted, ...","Architecture, Design and Threat Modeling Requirements","Verify implementation of centralized, simple (economy of design), vetted, secure...",,,,"Verify implementation of centralized, simple (economy of design), vetted, secure, and reusable security controls to avoid duplicate, missing, ineffective, or insecure controls. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering))","V1 Architecture, Design and Threat Modeling Requirements",V1.1 Secure Software Development Lifecycle Requirements,006,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,637,,,,
ASVS-V01.01.7,OWASP-ASVS,"L2/L3 Verify availability of a secure coding checklist, security requirements, g...","Architecture, Design and Threat Modeling Requirements","Verify availability of a secure coding checklist, security requirements, guideli...",,,,"Verify availability of a secure coding checklist, security requirements, guideline, or policy to all developers and testers.","V1 Architecture, Design and Threat Modeling Requirements",V1.1 Secure Software Development Lifecycle Requirements,007,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,637,,,,
ASVS-V01.02.1,OWASP-ASVS,L2/L3 Verify the use of unique or special low-privilege operating system account...,"Architecture, Design and Threat Modeling Requirements",Verify the use of unique or special low-privilege operating system accounts for ...,,,,"Verify the use of unique or special low-privilege operating system accounts for all application components, services, and servers. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))","V1 Architecture, Design and Threat Modeling Requirements",V1.2 Authentication Architectural Requirements,008,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,250,,,,
ASVS-V01.02.2,OWASP-ASVS,"L2/L3 Verify that communications between application components, including APIs,...","Architecture, Design and Threat Modeling Requirements","Verify that communications between application components, including APIs, middl...",,,,"Verify that communications between application components, including APIs, middleware and data layers, are authenticated. Components should have the least necessary privileges needed. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))","V1 Architecture, Design and Threat Modeling Requirements",V1.2 Authentication Architectural Requirements,009,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,306,,,,
ASVS-V01.02.3,OWASP-ASVS,L2/L3 Verify that the application uses a single vetted authentication mechanism ...,"Architecture, Design and Threat Modeling Requirements",Verify that the application uses a single vetted authentication mechanism that i...,,,,"Verify that the application uses a single vetted authentication mechanism that is known to be secure, can be extended to include strong authentication, and has sufficient logging and monitoring to detect account abuse or breaches.","V1 Architecture, Design and Threat Modeling Requirements",V1.2 Authentication Architectural Requirements,010,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,306,,,,
